date,home_team,away_team,prop_odds_game_id,sportsbook,home_team_odds,away_team_odds,winner
2023-03-30,Milwaukee Bucks,Boston Celtics,b9f73afe76d00f8ab4df32b24700e6e3,fanduel,-144,122,
2023-03-30,Denver Nuggets,New Orleans Pelicans,f675c3bcd3829faa0c16e6ef609c94cc,fanduel,-300,245,
2023-03-31,Charlotte Hornets,Chicago Bulls,39dee3e66ddefccd0037a482db303469,fanduel,285,-355,
2023-03-31,Indiana Pacers,Oklahoma City Thunder,821bb9d62a74cf9a4e056662b88fbcb6,fanduel,126,-148,
2023-03-31,Philadelphia 76ers,Toronto Raptors,01092098ddf3786113f882e9595e221c,fanduel,-250,205,
2023-03-31,Washington Wizards,Orlando Magic,e5e549c2915bd7542fbc8445764976e1,fanduel,-118,100,
2023-03-31,Boston Celtics,Utah Jazz,dccd6d118076f397970d87b441ef56b3,fanduel,-1000,660,
2023-03-31,Brooklyn Nets,Atlanta Hawks,9a32500dfc383b1fe0ef1ab29a3e5b65,fanduel,-102,-116,
2023-03-31,Cleveland Cavaliers,New York Knicks,5aba22ae43d7450dee74ba5867ee21b8,fanduel,-178,150,
2023-03-31,Houston Rockets,Detroit Pistons,38a34cfdda54b63bf54f463e8a0e70b1,fanduel,-190,160,
2023-03-31,Memphis Grizzlies,LA Clippers,548b2146893eb689ffaa67764de7c95e,fanduel,-280,230,
2023-03-31,Minnesota Timberwolves,Los Angeles Lakers,19e1451e993cb0aa7774d5dcc91762ec,fanduel,-112,-104,
2023-03-31,Golden State Warriors,San Antonio Spurs,2a193027992b1e00babebabc2ecb76dd,fanduel,-1800,980,
2023-03-31,Portland Trail Blazers,Sacramento Kings,0fc0acd27223d25c43a2347799d41ca6,fanduel,870,-1500,
2023-03-31,Phoenix Suns,Denver Nuggets,c41c2107a371c768bceebc1dd9d2f688,fanduel,-360,290,
2023-04-01,Miami Heat,Dallas Mavericks,ec26cf3fc289d1364e5caf0e2b8aa61f,fanduel,-112,-104,
2023-04-01,New Orleans Pelicans,LA Clippers,9903985ef140ac45a2d3644acf8ea5d8,fanduel,-154,130,
2023-04-02,Charlotte Hornets,Toronto Raptors,75f151dc17c381b50de088f0786f4e77,fanduel,610,-900,
2023-04-02,Brooklyn Nets,Utah Jazz,283ef39ee8e894506c90d0d5009c6257,fanduel,-370,295,
2023-04-02,Chicago Bulls,Memphis Grizzlies,3a8bfe292cc8acee659053865a322203,fanduel,120,-142,
2023-04-02,Minnesota Timberwolves,Portland Trail Blazers,6c8b9f7d727b0a368b6a31f4bbf22c5e,fanduel,-1600,900,
2023-04-02,Atlanta Hawks,Dallas Mavericks,0fde7cb072eb9b456e2400a720021822,fanduel,-178,150,
2023-04-02,New York Knicks,Washington Wizards,44f43b80489b0faa072eff31d001a8b6,fanduel,-800,560,
2023-04-02,Orlando Magic,Detroit Pistons,dd81f66081020d9a4d0f8aabb13ac3b5,fanduel,-480,370,
2023-04-02,Sacramento Kings,San Antonio Spurs,bb80b155885884bccb5c83d23715920d,fanduel,-1600,900,
2023-04-02,Houston Rockets,Los Angeles Lakers,869f17c14cf42a2ecdece166c0d153df,fanduel,460,-620,
2023-04-02,Oklahoma City Thunder,Phoenix Suns,01f6008a00b82a119b717781144d483e,fanduel,164,-198,
